question_id,answer_slot,redesigned_role,block_id,block_multiplier,question_weight,legacy_masc_score,legacy_feminine_score,legacy_drift_score,agency_w,expressivity_w,structure_flow_w,sexual_role_w,desire_intensity_w,capacity_strain_w,ambiguity_tolerance_w,repair_endurance_w,initiation_axis,pursuit_axis,leadership_axis,surrender_safety_axis,tension_attraction_axis,calm_receptivity_axis,structure_preference_axis,flexibility_axis,validation_dependency_axis,erotic_safety_alignment_axis,polarity_norm_seed,attraction_pattern_norm_seed,drift_penalty_norm,genesis_labels
q1,A,MS,1,1.0,1.0,10,2,1,0.9,0.3,0.85,0.85,0.4,-0.8,0.6,0.7,0.85,0.25,0.85,0.45,0.35,0.72,0.85,0.58,0.22,0.72,0.6848,0.6168,0.1,steady initiator; grounded lead; task-clear; low-drift
q1,B,Mm,1,1.0,1.0,7,4,2,0.55,0.1,0.6,0.55,0.3,-0.3,0.4,0.5,0.66,0.4,0.66,0.5,0.45,0.56,0.66,0.78,0.35,0.6,0.6428,0.6032,0.2,adaptive lead; observational; flexible; moderate drift
q1,C,Fa,1,1.0,1.0,3,9,3,-0.2,-0.8,-0.3,-0.4,0.7,-0.5,-0.2,-0.3,0.4,0.6,0.46,0.66,0.52,0.6,0.42,0.7,0.46,0.68,0.5958,0.6872,0.3,relationally sensing; emotionally led; tuned to bond
q1,D,Fr,1,1.0,1.0,1,10,4,-0.7,-0.55,-0.7,-0.8,0.2,-0.2,0.8,0.9,0.2,0.8,0.25,0.86,0.3,0.84,0.28,0.56,0.5,0.8,0.591,0.8336,0.4,settled receiver; high surrender; calm attraction
q1,E,Dr,1,1.0,1.0,0,3,10,-0.85,-0.2,-0.6,-0.3,0.8,1.0,-0.9,-1.0,0.3,0.7,0.2,0.24,0.82,0.2,0.26,0.22,0.78,0.18,0.3578,0.3356,1.0,confused signal; unstable pull; high strain; low repair
q2,A,Fr,1,1.0,1.0,1,10,4,-0.7,-0.55,-0.7,-0.8,0.2,-0.2,0.8,0.9,0.2,0.8,0.25,0.86,0.3,0.84,0.28,0.56,0.5,0.8,0.591,0.8336,0.4,settled receiver; high surrender; calm attraction
q2,B,MS,1,1.0,1.0,10,2,1,0.9,0.3,0.85,0.85,0.4,-0.8,0.6,0.7,0.85,0.25,0.85,0.45,0.35,0.72,0.85,0.58,0.22,0.72,0.6848,0.6168,0.1,steady initiator; grounded lead; task-clear; low-drift
q2,C,Dr,1,1.0,1.0,0,3,10,-0.85,-0.2,-0.6,-0.3,0.8,1.0,-0.9,-1.0,0.3,0.7,0.2,0.24,0.82,0.2,0.26,0.22,0.78,0.18,0.3578,0.3356,1.0,confused signal; unstable pull; high strain; low repair
q2,D,Mm,1,1.0,1.0,7,4,2,0.55,0.1,0.6,0.55,0.3,-0.3,0.4,0.5,0.66,0.4,0.66,0.5,0.45,0.56,0.66,0.78,0.35,0.6,0.6428,0.6032,0.2,adaptive lead; observational; flexible; moderate drift
q2,E,Fa,1,1.0,1.0,3,9,3,-0.2,-0.8,-0.3,-0.4,0.7,-0.5,-0.2,-0.3,0.4,0.6,0.46,0.66,0.52,0.6,0.42,0.7,0.46,0.68,0.5958,0.6872,0.3,relationally sensing; emotionally led; tuned to bond
q3,A,Mm,1,1.0,1.0,7,4,2,0.55,0.1,0.6,0.55,0.3,-0.3,0.4,0.5,0.66,0.4,0.66,0.5,0.45,0.56,0.66,0.78,0.35,0.6,0.6428,0.6032,0.2,adaptive lead; observational; flexible; moderate drift
q3,B,Fa,1,1.0,1.0,3,9,3,-0.2,-0.8,-0.3,-0.4,0.7,-0.5,-0.2,-0.3,0.4,0.6,0.46,0.66,0.52,0.6,0.42,0.7,0.46,0.68,0.5958,0.6872,0.3,relationally sensing; emotionally led; tuned to bond
q3,C,MS,1,1.0,1.0,10,2,1,0.9,0.3,0.85,0.85,0.4,-0.8,0.6,0.7,0.85,0.25,0.85,0.45,0.35,0.72,0.85,0.58,0.22,0.72,0.6848,0.6168,0.1,steady initiator; grounded lead; task-clear; low-drift
q3,D,Dr,1,1.0,1.0,0,3,10,-0.85,-0.2,-0.6,-0.3,0.8,1.0,-0.9,-1.0,0.3,0.7,0.2,0.24,0.82,0.2,0.26,0.22,0.78,0.18,0.3578,0.3356,1.0,confused signal; unstable pull; high strain; low repair
q3,E,Fr,1,1.0,1.0,1,10,4,-0.7,-0.55,-0.7,-0.8,0.2,-0.2,0.8,0.9,0.2,0.8,0.25,0.86,0.3,0.84,0.28,0.56,0.5,0.8,0.591,0.8336,0.4,settled receiver; high surrender; calm attraction
q4,A,Dr,1,1.0,1.0,0,3,10,-0.85,-0.2,-0.6,-0.3,0.8,1.0,-0.9,-1.0,0.3,0.7,0.2,0.24,0.82,0.2,0.26,0.22,0.78,0.18,0.3578,0.3356,1.0,confused signal; unstable pull; high strain; low repair
q4,B,Fr,1,1.0,1.0,1,10,4,-0.7,-0.55,-0.7,-0.8,0.2,-0.2,0.8,0.9,0.2,0.8,0.25,0.86,0.3,0.84,0.28,0.56,0.5,0.8,0.591,0.8336,0.4,settled receiver; high surrender; calm attraction
q4,C,Mm,1,1.0,1.0,7,4,2,0.55,0.1,0.6,0.55,0.3,-0.3,0.4,0.5,0.66,0.4,0.66,0.5,0.45,0.56,0.66,0.78,0.35,0.6,0.6428,0.6032,0.2,adaptive lead; observational; flexible; moderate drift
q4,D,Fa,1,1.0,1.0,3,9,3,-0.2,-0.8,-0.3,-0.4,0.7,-0.5,-0.2,-0.3,0.4,0.6,0.46,0.66,0.52,0.6,0.42,0.7,0.46,0.68,0.5958,0.6872,0.3,relationally sensing; emotionally led; tuned to bond
q4,E,MS,1,1.0,1.0,10,2,1,0.9,0.3,0.85,0.85,0.4,-0.8,0.6,0.7,0.85,0.25,0.85,0.45,0.35,0.72,0.85,0.58,0.22,0.72,0.6848,0.6168,0.1,steady initiator; grounded lead; task-clear; low-drift
q5,A,Fa,1,1.0,1.0,3,9,3,-0.2,-0.8,-0.3,-0.4,0.7,-0.5,-0.2,-0.3,0.4,0.6,0.46,0.66,0.52,0.6,0.42,0.7,0.46,0.68,0.5958,0.6872,0.3,relationally sensing; emotionally led; tuned to bond
q5,B,Dr,1,1.0,1.0,0,3,10,-0.85,-0.2,-0.6,-0.3,0.8,1.0,-0.9,-1.0,0.3,0.7,0.2,0.24,0.82,0.2,0.26,0.22,0.78,0.18,0.3578,0.3356,1.0,confused signal; unstable pull; high strain; low repair
q5,C,Fr,1,1.0,1.0,1,10,4,-0.7,-0.55,-0.7,-0.8,0.2,-0.2,0.8,0.9,0.2,0.8,0.25,0.86,0.3,0.84,0.28,0.56,0.5,0.8,0.591,0.8336,0.4,settled receiver; high surrender; calm attraction
q5,D,MS,1,1.0,1.0,10,2,1,0.9,0.3,0.85,0.85,0.4,-0.8,0.6,0.7,0.85,0.25,0.85,0.45,0.35,0.72,0.85,0.58,0.22,0.72,0.6848,0.6168,0.1,steady initiator; grounded lead; task-clear; low-drift
q5,E,Mm,1,1.0,1.0,7,4,2,0.55,0.1,0.6,0.55,0.3,-0.3,0.4,0.5,0.66,0.4,0.66,0.5,0.45,0.56,0.66,0.78,0.35,0.6,0.6428,0.6032,0.2,adaptive lead; observational; flexible; moderate drift
q6,A,MS,1,1.0,1.0,10,2,1,0.9,0.3,0.85,0.85,0.4,-0.8,0.6,0.7,0.85,0.25,0.85,0.45,0.35,0.72,0.85,0.58,0.22,0.72,0.6848,0.6168,0.1,steady initiator; grounded lead; task-clear; low-drift
q6,B,Mm,1,1.0,1.0,7,4,2,0.55,0.1,0.6,0.55,0.3,-0.3,0.4,0.5,0.66,0.4,0.66,0.5,0.45,0.56,0.66,0.78,0.35,0.6,0.6428,0.6032,0.2,adaptive lead; observational; flexible; moderate drift
q6,C,Fa,1,1.0,1.0,3,9,3,-0.2,-0.8,-0.3,-0.4,0.7,-0.5,-0.2,-0.3,0.4,0.6,0.46,0.66,0.52,0.6,0.42,0.7,0.46,0.68,0.5958,0.6872,0.3,relationally sensing; emotionally led; tuned to bond
q6,D,Fr,1,1.0,1.0,1,10,4,-0.7,-0.55,-0.7,-0.8,0.2,-0.2,0.8,0.9,0.2,0.8,0.25,0.86,0.3,0.84,0.28,0.56,0.5,0.8,0.591,0.8336,0.4,settled receiver; high surrender; calm attraction
q6,E,Dr,1,1.0,1.0,0,3,10,-0.85,-0.2,-0.6,-0.3,0.8,1.0,-0.9,-1.0,0.3,0.7,0.2,0.24,0.82,0.2,0.26,0.22,0.78,0.18,0.3578,0.3356,1.0,confused signal; unstable pull; high strain; low repair
q7,A,Fr,1,1.0,1.0,1,10,4,-0.7,-0.55,-0.7,-0.8,0.2,-0.2,0.8,0.9,0.2,0.8,0.25,0.86,0.3,0.84,0.28,0.56,0.5,0.8,0.591,0.8336,0.4,settled receiver; high surrender; calm attraction
q7,B,MS,1,1.0,1.0,10,2,1,0.9,0.3,0.85,0.85,0.4,-0.8,0.6,0.7,0.85,0.25,0.85,0.45,0.35,0.72,0.85,0.58,0.22,0.72,0.6848,0.6168,0.1,steady initiator; grounded lead; task-clear; low-drift
q7,C,Dr,1,1.0,1.0,0,3,10,-0.85,-0.2,-0.6,-0.3,0.8,1.0,-0.9,-1.0,0.3,0.7,0.2,0.24,0.82,0.2,0.26,0.22,0.78,0.18,0.3578,0.3356,1.0,confused signal; unstable pull; high strain; low repair
q7,D,Mm,1,1.0,1.0,7,4,2,0.55,0.1,0.6,0.55,0.3,-0.3,0.4,0.5,0.66,0.4,0.66,0.5,0.45,0.56,0.66,0.78,0.35,0.6,0.6428,0.6032,0.2,adaptive lead; observational; flexible; moderate drift
q7,E,Fa,1,1.0,1.0,3,9,3,-0.2,-0.8,-0.3,-0.4,0.7,-0.5,-0.2,-0.3,0.4,0.6,0.46,0.66,0.52,0.6,0.42,0.7,0.46,0.68,0.5958,0.6872,0.3,relationally sensing; emotionally led; tuned to bond
q8,A,Mm,1,1.0,1.0,7,4,2,0.55,0.1,0.6,0.55,0.3,-0.3,0.4,0.5,0.66,0.4,0.66,0.5,0.45,0.56,0.66,0.78,0.35,0.6,0.6428,0.6032,0.2,adaptive lead; observational; flexible; moderate drift
q8,B,Fa,1,1.0,1.0,3,9,3,-0.2,-0.8,-0.3,-0.4,0.7,-0.5,-0.2,-0.3,0.4,0.6,0.46,0.66,0.52,0.6,0.42,0.7,0.46,0.68,0.5958,0.6872,0.3,relationally sensing; emotionally led; tuned to bond
q8,C,MS,1,1.0,1.0,10,2,1,0.9,0.3,0.85,0.85,0.4,-0.8,0.6,0.7,0.85,0.25,0.85,0.45,0.35,0.72,0.85,0.58,0.22,0.72,0.6848,0.6168,0.1,steady initiator; grounded lead; task-clear; low-drift
q8,D,Dr,1,1.0,1.0,0,3,10,-0.85,-0.2,-0.6,-0.3,0.8,1.0,-0.9,-1.0,0.3,0.7,0.2,0.24,0.82,0.2,0.26,0.22,0.78,0.18,0.3578,0.3356,1.0,confused signal; unstable pull; high strain; low repair
q8,E,Fr,1,1.0,1.0,1,10,4,-0.7,-0.55,-0.7,-0.8,0.2,-0.2,0.8,0.9,0.2,0.8,0.25,0.86,0.3,0.84,0.28,0.56,0.5,0.8,0.591,0.8336,0.4,settled receiver; high surrender; calm attraction
q9,A,Dr,2,1.1,1.1,0,3,10,-0.85,-0.2,-0.6,-0.3,0.8,1.0,-0.9,-1.0,0.3,0.7,0.2,0.24,0.82,0.2,0.26,0.22,0.78,0.18,0.3578,0.3356,1.1,confused signal; unstable pull; high strain; low repair
q9,B,Fr,2,1.1,1.1,1,10,4,-0.7,-0.55,-0.7,-0.8,0.2,-0.2,0.8,0.9,0.2,0.8,0.25,0.86,0.3,0.84,0.28,0.56,0.5,0.8,0.591,0.8336,0.44,settled receiver; high surrender; calm attraction
q9,C,Mm,2,1.1,1.1,7,4,2,0.55,0.1,0.6,0.55,0.3,-0.3,0.4,0.5,0.66,0.4,0.66,0.5,0.45,0.56,0.66,0.78,0.35,0.6,0.6428,0.6032,0.22,adaptive lead; observational; flexible; moderate drift
q9,D,Fa,2,1.1,1.1,3,9,3,-0.2,-0.8,-0.3,-0.4,0.7,-0.5,-0.2,-0.3,0.4,0.6,0.46,0.66,0.52,0.6,0.42,0.7,0.46,0.68,0.5958,0.6872,0.33,relationally sensing; emotionally led; tuned to bond
q9,E,MS,2,1.1,1.1,10,2,1,0.9,0.3,0.85,0.85,0.4,-0.8,0.6,0.7,0.85,0.25,0.85,0.45,0.35,0.72,0.85,0.58,0.22,0.72,0.6848,0.6168,0.11,steady initiator; grounded lead; task-clear; low-drift
q10,A,Fa,2,1.1,1.1,3,9,3,-0.2,-0.8,-0.3,-0.4,0.7,-0.5,-0.2,-0.3,0.4,0.6,0.46,0.66,0.52,0.6,0.42,0.7,0.46,0.68,0.5958,0.6872,0.33,relationally sensing; emotionally led; tuned to bond
q10,B,Dr,2,1.1,1.1,0,3,10,-0.85,-0.2,-0.6,-0.3,0.8,1.0,-0.9,-1.0,0.3,0.7,0.2,0.24,0.82,0.2,0.26,0.22,0.78,0.18,0.3578,0.3356,1.1,confused signal; unstable pull; high strain; low repair
q10,C,Fr,2,1.1,1.1,1,10,4,-0.7,-0.55,-0.7,-0.8,0.2,-0.2,0.8,0.9,0.2,0.8,0.25,0.86,0.3,0.84,0.28,0.56,0.5,0.8,0.591,0.8336,0.44,settled receiver; high surrender; calm attraction
q10,D,MS,2,1.1,1.1,10,2,1,0.9,0.3,0.85,0.85,0.4,-0.8,0.6,0.7,0.85,0.25,0.85,0.45,0.35,0.72,0.85,0.58,0.22,0.72,0.6848,0.6168,0.11,steady initiator; grounded lead; task-clear; low-drift
q10,E,Mm,2,1.1,1.1,7,4,2,0.55,0.1,0.6,0.55,0.3,-0.3,0.4,0.5,0.66,0.4,0.66,0.5,0.45,0.56,0.66,0.78,0.35,0.6,0.6428,0.6032,0.22,adaptive lead; observational; flexible; moderate drift
q11,A,MS,2,1.1,1.1,10,2,1,0.9,0.3,0.85,0.85,0.4,-0.8,0.6,0.7,0.85,0.25,0.85,0.45,0.35,0.72,0.85,0.58,0.22,0.72,0.6848,0.6168,0.11,steady initiator; grounded lead; task-clear; low-drift
q11,B,Mm,2,1.1,1.1,7,4,2,0.55,0.1,0.6,0.55,0.3,-0.3,0.4,0.5,0.66,0.4,0.66,0.5,0.45,0.56,0.66,0.78,0.35,0.6,0.6428,0.6032,0.22,adaptive lead; observational; flexible; moderate drift
q11,C,Fa,2,1.1,1.1,3,9,3,-0.2,-0.8,-0.3,-0.4,0.7,-0.5,-0.2,-0.3,0.4,0.6,0.46,0.66,0.52,0.6,0.42,0.7,0.46,0.68,0.5958,0.6872,0.33,relationally sensing; emotionally led; tuned to bond
q11,D,Fr,2,1.1,1.1,1,10,4,-0.7,-0.55,-0.7,-0.8,0.2,-0.2,0.8,0.9,0.2,0.8,0.25,0.86,0.3,0.84,0.28,0.56,0.5,0.8,0.591,0.8336,0.44,settled receiver; high surrender; calm attraction
q11,E,Dr,2,1.1,1.1,0,3,10,-0.85,-0.2,-0.6,-0.3,0.8,1.0,-0.9,-1.0,0.3,0.7,0.2,0.24,0.82,0.2,0.26,0.22,0.78,0.18,0.3578,0.3356,1.1,confused signal; unstable pull; high strain; low repair
q12,A,Fr,2,1.1,1.1,1,10,4,-0.7,-0.55,-0.7,-0.8,0.2,-0.2,0.8,0.9,0.2,0.8,0.25,0.86,0.3,0.84,0.28,0.56,0.5,0.8,0.591,0.8336,0.44,settled receiver; high surrender; calm attraction
q12,B,MS,2,1.1,1.1,10,2,1,0.9,0.3,0.85,0.85,0.4,-0.8,0.6,0.7,0.85,0.25,0.85,0.45,0.35,0.72,0.85,0.58,0.22,0.72,0.6848,0.6168,0.11,steady initiator; grounded lead; task-clear; low-drift
q12,C,Dr,2,1.1,1.1,0,3,10,-0.85,-0.2,-0.6,-0.3,0.8,1.0,-0.9,-1.0,0.3,0.7,0.2,0.24,0.82,0.2,0.26,0.22,0.78,0.18,0.3578,0.3356,1.1,confused signal; unstable pull; high strain; low repair
q12,D,Mm,2,1.1,1.1,7,4,2,0.55,0.1,0.6,0.55,0.3,-0.3,0.4,0.5,0.66,0.4,0.66,0.5,0.45,0.56,0.66,0.78,0.35,0.6,0.6428,0.6032,0.22,adaptive lead; observational; flexible; moderate drift
q12,E,Fa,2,1.1,1.1,3,9,3,-0.2,-0.8,-0.3,-0.4,0.7,-0.5,-0.2,-0.3,0.4,0.6,0.46,0.66,0.52,0.6,0.42,0.7,0.46,0.68,0.5958,0.6872,0.33,relationally sensing; emotionally led; tuned to bond
q13,A,Mm,2,1.1,1.1,7,4,2,0.55,0.1,0.6,0.55,0.3,-0.3,0.4,0.5,0.66,0.4,0.66,0.5,0.45,0.56,0.66,0.78,0.35,0.6,0.6428,0.6032,0.22,adaptive lead; observational; flexible; moderate drift
q13,B,Fa,2,1.1,1.1,3,9,3,-0.2,-0.8,-0.3,-0.4,0.7,-0.5,-0.2,-0.3,0.4,0.6,0.46,0.66,0.52,0.6,0.42,0.7,0.46,0.68,0.5958,0.6872,0.33,relationally sensing; emotionally led; tuned to bond
q13,C,MS,2,1.1,1.1,10,2,1,0.9,0.3,0.85,0.85,0.4,-0.8,0.6,0.7,0.85,0.25,0.85,0.45,0.35,0.72,0.85,0.58,0.22,0.72,0.6848,0.6168,0.11,steady initiator; grounded lead; task-clear; low-drift
q13,D,Dr,2,1.1,1.1,0,3,10,-0.85,-0.2,-0.6,-0.3,0.8,1.0,-0.9,-1.0,0.3,0.7,0.2,0.24,0.82,0.2,0.26,0.22,0.78,0.18,0.3578,0.3356,1.1,confused signal; unstable pull; high strain; low repair
q13,E,Fr,2,1.1,1.1,1,10,4,-0.7,-0.55,-0.7,-0.8,0.2,-0.2,0.8,0.9,0.2,0.8,0.25,0.86,0.3,0.84,0.28,0.56,0.5,0.8,0.591,0.8336,0.44,settled receiver; high surrender; calm attraction
q14,A,Dr,2,1.1,1.1,0,3,10,-0.85,-0.2,-0.6,-0.3,0.8,1.0,-0.9,-1.0,0.3,0.7,0.2,0.24,0.82,0.2,0.26,0.22,0.78,0.18,0.3578,0.3356,1.1,confused signal; unstable pull; high strain; low repair
q14,B,Fr,2,1.1,1.1,1,10,4,-0.7,-0.55,-0.7,-0.8,0.2,-0.2,0.8,0.9,0.2,0.8,0.25,0.86,0.3,0.84,0.28,0.56,0.5,0.8,0.591,0.8336,0.44,settled receiver; high surrender; calm attraction
q14,C,Mm,2,1.1,1.1,7,4,2,0.55,0.1,0.6,0.55,0.3,-0.3,0.4,0.5,0.66,0.4,0.66,0.5,0.45,0.56,0.66,0.78,0.35,0.6,0.6428,0.6032,0.22,adaptive lead; observational; flexible; moderate drift
q14,D,Fa,2,1.1,1.1,3,9,3,-0.2,-0.8,-0.3,-0.4,0.7,-0.5,-0.2,-0.3,0.4,0.6,0.46,0.66,0.52,0.6,0.42,0.7,0.46,0.68,0.5958,0.6872,0.33,relationally sensing; emotionally led; tuned to bond
q14,E,MS,2,1.1,1.1,10,2,1,0.9,0.3,0.85,0.85,0.4,-0.8,0.6,0.7,0.85,0.25,0.85,0.45,0.35,0.72,0.85,0.58,0.22,0.72,0.6848,0.6168,0.11,steady initiator; grounded lead; task-clear; low-drift
q15,A,Fa,2,1.1,1.1,3,9,3,-0.2,-0.8,-0.3,-0.4,0.7,-0.5,-0.2,-0.3,0.4,0.6,0.46,0.66,0.52,0.6,0.42,0.7,0.46,0.68,0.5958,0.6872,0.33,relationally sensing; emotionally led; tuned to bond
q15,B,Dr,2,1.1,1.1,0,3,10,-0.85,-0.2,-0.6,-0.3,0.8,1.0,-0.9,-1.0,0.3,0.7,0.2,0.24,0.82,0.2,0.26,0.22,0.78,0.18,0.3578,0.3356,1.1,confused signal; unstable pull; high strain; low repair
q15,C,Fr,2,1.1,1.1,1,10,4,-0.7,-0.55,-0.7,-0.8,0.2,-0.2,0.8,0.9,0.2,0.8,0.25,0.86,0.3,0.84,0.28,0.56,0.5,0.8,0.591,0.8336,0.44,settled receiver; high surrender; calm attraction
q15,D,MS,2,1.1,1.1,10,2,1,0.9,0.3,0.85,0.85,0.4,-0.8,0.6,0.7,0.85,0.25,0.85,0.45,0.35,0.72,0.85,0.58,0.22,0.72,0.6848,0.6168,0.11,steady initiator; grounded lead; task-clear; low-drift
q15,E,Mm,2,1.1,1.1,7,4,2,0.55,0.1,0.6,0.55,0.3,-0.3,0.4,0.5,0.66,0.4,0.66,0.5,0.45,0.56,0.66,0.78,0.35,0.6,0.6428,0.6032,0.22,adaptive lead; observational; flexible; moderate drift
q16,A,MS,2,1.1,1.1,10,2,1,0.9,0.3,0.85,0.85,0.4,-0.8,0.6,0.7,0.85,0.25,0.85,0.45,0.35,0.72,0.85,0.58,0.22,0.72,0.6848,0.6168,0.11,steady initiator; grounded lead; task-clear; low-drift
q16,B,Mm,2,1.1,1.1,7,4,2,0.55,0.1,0.6,0.55,0.3,-0.3,0.4,0.5,0.66,0.4,0.66,0.5,0.45,0.56,0.66,0.78,0.35,0.6,0.6428,0.6032,0.22,adaptive lead; observational; flexible; moderate drift
q16,C,Fa,2,1.1,1.1,3,9,3,-0.2,-0.8,-0.3,-0.4,0.7,-0.5,-0.2,-0.3,0.4,0.6,0.46,0.66,0.52,0.6,0.42,0.7,0.46,0.68,0.5958,0.6872,0.33,relationally sensing; emotionally led; tuned to bond
q16,D,Fr,2,1.1,1.1,1,10,4,-0.7,-0.55,-0.7,-0.8,0.2,-0.2,0.8,0.9,0.2,0.8,0.25,0.86,0.3,0.84,0.28,0.56,0.5,0.8,0.591,0.8336,0.44,settled receiver; high surrender; calm attraction
