question_id,answer_slot,redesigned_role,block_id,block_multiplier,question_weight,legacy_masc_score,legacy_feminine_score,legacy_drift_score,agency_w,expressivity_w,structure_flow_w,sexual_role_w,desire_intensity_w,capacity_strain_w,ambiguity_tolerance_w,repair_endurance_w,initiation_axis,pursuit_axis,leadership_axis,surrender_safety_axis,tension_attraction_axis,calm_receptivity_axis,structure_preference_axis,flexibility_axis,validation_dependency_axis,erotic_safety_alignment_axis,polarity_norm_seed,attraction_pattern_norm_seed,drift_penalty_norm,genesis_labels
q16,E,Dr,2,1.1,1.1,0,3,10,-0.85,-0.2,-0.6,-0.3,0.8,1.0,-0.9,-1.0,0.3,0.7,0.2,0.24,0.82,0.2,0.26,0.22,0.78,0.18,0.3578,0.3356,1.1,confused signal; unstable pull; high strain; low repair
q17,A,Fr,3,1.15,1.21,1,10,4,-0.7,-0.55,-0.7,-0.8,0.2,-0.2,0.8,0.9,0.2,0.8,0.25,0.86,0.3,0.84,0.28,0.56,0.5,0.8,0.591,0.8336,0.46,settled receiver; high surrender; calm attraction
q17,B,MS,3,1.15,1.21,10,2,1,0.9,0.3,0.85,0.85,0.4,-0.8,0.6,0.7,0.85,0.25,0.85,0.45,0.35,0.72,0.85,0.58,0.22,0.72,0.6848,0.6168,0.115,steady initiator; grounded lead; task-clear; low-drift
q17,C,Dr,3,1.15,1.21,0,3,10,-0.85,-0.2,-0.6,-0.3,0.8,1.0,-0.9,-1.0,0.3,0.7,0.2,0.24,0.82,0.2,0.26,0.22,0.78,0.18,0.3578,0.3356,1.15,confused signal; unstable pull; high strain; low repair
q17,D,Mm,3,1.15,1.21,7,4,2,0.55,0.1,0.6,0.55,0.3,-0.3,0.4,0.5,0.66,0.4,0.66,0.5,0.45,0.56,0.66,0.78,0.35,0.6,0.6428,0.6032,0.23,adaptive lead; observational; flexible; moderate drift
q17,E,Fa,3,1.15,1.21,3,9,3,-0.2,-0.8,-0.3,-0.4,0.7,-0.5,-0.2,-0.3,0.4,0.6,0.46,0.66,0.52,0.6,0.42,0.7,0.46,0.68,0.5958,0.6872,0.345,relationally sensing; emotionally led; tuned to bond
q18,A,Mm,3,1.15,1.21,7,4,2,0.55,0.1,0.6,0.55,0.3,-0.3,0.4,0.5,0.66,0.4,0.66,0.5,0.45,0.56,0.66,0.78,0.35,0.6,0.6428,0.6032,0.23,adaptive lead; observational; flexible; moderate drift
q18,B,Fa,3,1.15,1.21,3,9,3,-0.2,-0.8,-0.3,-0.4,0.7,-0.5,-0.2,-0.3,0.4,0.6,0.46,0.66,0.52,0.6,0.42,0.7,0.46,0.68,0.5958,0.6872,0.345,relationally sensing; emotionally led; tuned to bond
q18,C,MS,3,1.15,1.21,10,2,1,0.9,0.3,0.85,0.85,0.4,-0.8,0.6,0.7,0.85,0.25,0.85,0.45,0.35,0.72,0.85,0.58,0.22,0.72,0.6848,0.6168,0.115,steady initiator; grounded lead; task-clear; low-drift
q18,D,Dr,3,1.15,1.21,0,3,10,-0.85,-0.2,-0.6,-0.3,0.8,1.0,-0.9,-1.0,0.3,0.7,0.2,0.24,0.82,0.2,0.26,0.22,0.78,0.18,0.3578,0.3356,1.15,confused signal; unstable pull; high strain; low repair
q18,E,Fr,3,1.15,1.21,1,10,4,-0.7,-0.55,-0.7,-0.8,0.2,-0.2,0.8,0.9,0.2,0.8,0.25,0.86,0.3,0.84,0.28,0.56,0.5,0.8,0.591,0.8336,0.46,settled receiver; high surrender; calm attraction
q19,A,Dr,3,1.15,1.15,0,3,10,-0.85,-0.2,-0.6,-0.3,0.8,1.0,-0.9,-1.0,0.3,0.7,0.2,0.24,0.82,0.2,0.26,0.22,0.78,0.18,0.3578,0.3356,1.15,confused signal; unstable pull; high strain; low repair
q19,B,Fr,3,1.15,1.15,1,10,4,-0.7,-0.55,-0.7,-0.8,0.2,-0.2,0.8,0.9,0.2,0.8,0.25,0.86,0.3,0.84,0.28,0.56,0.5,0.8,0.591,0.8336,0.46,settled receiver; high surrender; calm attraction
q19,C,Mm,3,1.15,1.15,7,4,2,0.55,0.1,0.6,0.55,0.3,-0.3,0.4,0.5,0.66,0.4,0.66,0.5,0.45,0.56,0.66,0.78,0.35,0.6,0.6428,0.6032,0.23,adaptive lead; observational; flexible; moderate drift
q19,D,Fa,3,1.15,1.15,3,9,3,-0.2,-0.8,-0.3,-0.4,0.7,-0.5,-0.2,-0.3,0.4,0.6,0.46,0.66,0.52,0.6,0.42,0.7,0.46,0.68,0.5958,0.6872,0.345,relationally sensing; emotionally led; tuned to bond
q19,E,MS,3,1.15,1.15,10,2,1,0.9,0.3,0.85,0.85,0.4,-0.8,0.6,0.7,0.85,0.25,0.85,0.45,0.35,0.72,0.85,0.58,0.22,0.72,0.6848,0.6168,0.115,steady initiator; grounded lead; task-clear; low-drift
q20,A,Fa,3,1.15,1.15,3,9,3,-0.2,-0.8,-0.3,-0.4,0.7,-0.5,-0.2,-0.3,0.4,0.6,0.46,0.66,0.52,0.6,0.42,0.7,0.46,0.68,0.5958,0.6872,0.345,relationally sensing; emotionally led; tuned to bond
q20,B,Dr,3,1.15,1.15,0,3,10,-0.85,-0.2,-0.6,-0.3,0.8,1.0,-0.9,-1.0,0.3,0.7,0.2,0.24,0.82,0.2,0.26,0.22,0.78,0.18,0.3578,0.3356,1.15,confused signal; unstable pull; high strain; low repair
q20,C,Fr,3,1.15,1.15,1,10,4,-0.7,-0.55,-0.7,-0.8,0.2,-0.2,0.8,0.9,0.2,0.8,0.25,0.86,0.3,0.84,0.28,0.56,0.5,0.8,0.591,0.8336,0.46,settled receiver; high surrender; calm attraction
q20,D,MS,3,1.15,1.15,10,2,1,0.9,0.3,0.85,0.85,0.4,-0.8,0.6,0.7,0.85,0.25,0.85,0.45,0.35,0.72,0.85,0.58,0.22,0.72,0.6848,0.6168,0.115,steady initiator; grounded lead; task-clear; low-drift
q20,E,Mm,3,1.15,1.15,7,4,2,0.55,0.1,0.6,0.55,0.3,-0.3,0.4,0.5,0.66,0.4,0.66,0.5,0.45,0.56,0.66,0.78,0.35,0.6,0.6428,0.6032,0.23,adaptive lead; observational; flexible; moderate drift
q21,A,MS,3,1.15,1.15,10,2,1,0.9,0.3,0.85,0.85,0.4,-0.8,0.6,0.7,0.85,0.25,0.85,0.45,0.35,0.72,0.85,0.58,0.22,0.72,0.6848,0.6168,0.115,steady initiator; grounded lead; task-clear; low-drift
q21,B,Mm,3,1.15,1.15,7,4,2,0.55,0.1,0.6,0.55,0.3,-0.3,0.4,0.5,0.66,0.4,0.66,0.5,0.45,0.56,0.66,0.78,0.35,0.6,0.6428,0.6032,0.23,adaptive lead; observational; flexible; moderate drift
q21,C,Fa,3,1.15,1.15,3,9,3,-0.2,-0.8,-0.3,-0.4,0.7,-0.5,-0.2,-0.3,0.4,0.6,0.46,0.66,0.52,0.6,0.42,0.7,0.46,0.68,0.5958,0.6872,0.345,relationally sensing; emotionally led; tuned to bond
q21,D,Fr,3,1.15,1.15,1,10,4,-0.7,-0.55,-0.7,-0.8,0.2,-0.2,0.8,0.9,0.2,0.8,0.25,0.86,0.3,0.84,0.28,0.56,0.5,0.8,0.591,0.8336,0.46,settled receiver; high surrender; calm attraction
q21,E,Dr,3,1.15,1.15,0,3,10,-0.85,-0.2,-0.6,-0.3,0.8,1.0,-0.9,-1.0,0.3,0.7,0.2,0.24,0.82,0.2,0.26,0.22,0.78,0.18,0.3578,0.3356,1.15,confused signal; unstable pull; high strain; low repair
q22,A,Fr,3,1.15,1.15,1,10,4,-0.7,-0.55,-0.7,-0.8,0.2,-0.2,0.8,0.9,0.2,0.8,0.25,0.86,0.3,0.84,0.28,0.56,0.5,0.8,0.591,0.8336,0.46,settled receiver; high surrender; calm attraction
q22,B,MS,3,1.15,1.15,10,2,1,0.9,0.3,0.85,0.85,0.4,-0.8,0.6,0.7,0.85,0.25,0.85,0.45,0.35,0.72,0.85,0.58,0.22,0.72,0.6848,0.6168,0.115,steady initiator; grounded lead; task-clear; low-drift
q22,C,Dr,3,1.15,1.15,0,3,10,-0.85,-0.2,-0.6,-0.3,0.8,1.0,-0.9,-1.0,0.3,0.7,0.2,0.24,0.82,0.2,0.26,0.22,0.78,0.18,0.3578,0.3356,1.15,confused signal; unstable pull; high strain; low repair
q22,D,Mm,3,1.15,1.15,7,4,2,0.55,0.1,0.6,0.55,0.3,-0.3,0.4,0.5,0.66,0.4,0.66,0.5,0.45,0.56,0.66,0.78,0.35,0.6,0.6428,0.6032,0.23,adaptive lead; observational; flexible; moderate drift
q22,E,Fa,3,1.15,1.15,3,9,3,-0.2,-0.8,-0.3,-0.4,0.7,-0.5,-0.2,-0.3,0.4,0.6,0.46,0.66,0.52,0.6,0.42,0.7,0.46,0.68,0.5958,0.6872,0.345,relationally sensing; emotionally led; tuned to bond
q23,A,Mm,3,1.15,1.15,7,4,2,0.55,0.1,0.6,0.55,0.3,-0.3,0.4,0.5,0.66,0.4,0.66,0.5,0.45,0.56,0.66,0.78,0.35,0.6,0.6428,0.6032,0.23,adaptive lead; observational; flexible; moderate drift
q23,B,Fa,3,1.15,1.15,3,9,3,-0.2,-0.8,-0.3,-0.4,0.7,-0.5,-0.2,-0.3,0.4,0.6,0.46,0.66,0.52,0.6,0.42,0.7,0.46,0.68,0.5958,0.6872,0.345,relationally sensing; emotionally led; tuned to bond
q23,C,MS,3,1.15,1.15,10,2,1,0.9,0.3,0.85,0.85,0.4,-0.8,0.6,0.7,0.85,0.25,0.85,0.45,0.35,0.72,0.85,0.58,0.22,0.72,0.6848,0.6168,0.115,steady initiator; grounded lead; task-clear; low-drift
q23,D,Dr,3,1.15,1.15,0,3,10,-0.85,-0.2,-0.6,-0.3,0.8,1.0,-0.9,-1.0,0.3,0.7,0.2,0.24,0.82,0.2,0.26,0.22,0.78,0.18,0.3578,0.3356,1.15,confused signal; unstable pull; high strain; low repair
q23,E,Fr,3,1.15,1.15,1,10,4,-0.7,-0.55,-0.7,-0.8,0.2,-0.2,0.8,0.9,0.2,0.8,0.25,0.86,0.3,0.84,0.28,0.56,0.5,0.8,0.591,0.8336,0.46,settled receiver; high surrender; calm attraction
q24,A,Dr,3,1.15,1.15,0,3,10,-0.85,-0.2,-0.6,-0.3,0.8,1.0,-0.9,-1.0,0.3,0.7,0.2,0.24,0.82,0.2,0.26,0.22,0.78,0.18,0.3578,0.3356,1.15,confused signal; unstable pull; high strain; low repair
q24,B,Fr,3,1.15,1.15,1,10,4,-0.7,-0.55,-0.7,-0.8,0.2,-0.2,0.8,0.9,0.2,0.8,0.25,0.86,0.3,0.84,0.28,0.56,0.5,0.8,0.591,0.8336,0.46,settled receiver; high surrender; calm attraction
q24,C,Mm,3,1.15,1.15,7,4,2,0.55,0.1,0.6,0.55,0.3,-0.3,0.4,0.5,0.66,0.4,0.66,0.5,0.45,0.56,0.66,0.78,0.35,0.6,0.6428,0.6032,0.23,adaptive lead; observational; flexible; moderate drift
q24,D,Fa,3,1.15,1.15,3,9,3,-0.2,-0.8,-0.3,-0.4,0.7,-0.5,-0.2,-0.3,0.4,0.6,0.46,0.66,0.52,0.6,0.42,0.7,0.46,0.68,0.5958,0.6872,0.345,relationally sensing; emotionally led; tuned to bond
q24,E,MS,3,1.15,1.15,10,2,1,0.9,0.3,0.85,0.85,0.4,-0.8,0.6,0.7,0.85,0.25,0.85,0.45,0.35,0.72,0.85,0.58,0.22,0.72,0.6848,0.6168,0.115,steady initiator; grounded lead; task-clear; low-drift
q25,A,Fa,4,1.2,1.26,3,9,3,-0.2,-0.8,-0.3,-0.4,0.7,-0.5,-0.2,-0.3,0.4,0.6,0.46,0.66,0.52,0.6,0.42,0.7,0.46,0.68,0.5958,0.6872,0.36,relationally sensing; emotionally led; tuned to bond
q25,B,Dr,4,1.2,1.26,0,3,10,-0.85,-0.2,-0.6,-0.3,0.8,1.0,-0.9,-1.0,0.3,0.7,0.2,0.24,0.82,0.2,0.26,0.22,0.78,0.18,0.3578,0.3356,1.2,confused signal; unstable pull; high strain; low repair
q25,C,Fr,4,1.2,1.26,1,10,4,-0.7,-0.55,-0.7,-0.8,0.2,-0.2,0.8,0.9,0.2,0.8,0.25,0.86,0.3,0.84,0.28,0.56,0.5,0.8,0.591,0.8336,0.48,settled receiver; high surrender; calm attraction
q25,D,MS,4,1.2,1.26,10,2,1,0.9,0.3,0.85,0.85,0.4,-0.8,0.6,0.7,0.85,0.25,0.85,0.45,0.35,0.72,0.85,0.58,0.22,0.72,0.6848,0.6168,0.12,steady initiator; grounded lead; task-clear; low-drift
q25,E,Mm,4,1.2,1.26,7,4,2,0.55,0.1,0.6,0.55,0.3,-0.3,0.4,0.5,0.66,0.4,0.66,0.5,0.45,0.56,0.66,0.78,0.35,0.6,0.6428,0.6032,0.24,adaptive lead; observational; flexible; moderate drift
q26,A,MS,4,1.2,1.26,10,2,1,0.9,0.3,0.85,0.85,0.4,-0.8,0.6,0.7,0.85,0.25,0.85,0.45,0.35,0.72,0.85,0.58,0.22,0.72,0.6848,0.6168,0.12,steady initiator; grounded lead; task-clear; low-drift
q26,B,Mm,4,1.2,1.26,7,4,2,0.55,0.1,0.6,0.55,0.3,-0.3,0.4,0.5,0.66,0.4,0.66,0.5,0.45,0.56,0.66,0.78,0.35,0.6,0.6428,0.6032,0.24,adaptive lead; observational; flexible; moderate drift
q26,C,Fa,4,1.2,1.26,3,9,3,-0.2,-0.8,-0.3,-0.4,0.7,-0.5,-0.2,-0.3,0.4,0.6,0.46,0.66,0.52,0.6,0.42,0.7,0.46,0.68,0.5958,0.6872,0.36,relationally sensing; emotionally led; tuned to bond
q26,D,Fr,4,1.2,1.26,1,10,4,-0.7,-0.55,-0.7,-0.8,0.2,-0.2,0.8,0.9,0.2,0.8,0.25,0.86,0.3,0.84,0.28,0.56,0.5,0.8,0.591,0.8336,0.48,settled receiver; high surrender; calm attraction
q26,E,Dr,4,1.2,1.26,0,3,10,-0.85,-0.2,-0.6,-0.3,0.8,1.0,-0.9,-1.0,0.3,0.7,0.2,0.24,0.82,0.2,0.26,0.22,0.78,0.18,0.3578,0.3356,1.2,confused signal; unstable pull; high strain; low repair
q27,A,Fr,4,1.2,1.2,1,10,4,-0.7,-0.55,-0.7,-0.8,0.2,-0.2,0.8,0.9,0.2,0.8,0.25,0.86,0.3,0.84,0.28,0.56,0.5,0.8,0.591,0.8336,0.48,settled receiver; high surrender; calm attraction
q27,B,MS,4,1.2,1.2,10,2,1,0.9,0.3,0.85,0.85,0.4,-0.8,0.6,0.7,0.85,0.25,0.85,0.45,0.35,0.72,0.85,0.58,0.22,0.72,0.6848,0.6168,0.12,steady initiator; grounded lead; task-clear; low-drift
q27,C,Dr,4,1.2,1.2,0,3,10,-0.85,-0.2,-0.6,-0.3,0.8,1.0,-0.9,-1.0,0.3,0.7,0.2,0.24,0.82,0.2,0.26,0.22,0.78,0.18,0.3578,0.3356,1.2,confused signal; unstable pull; high strain; low repair
q27,D,Mm,4,1.2,1.2,7,4,2,0.55,0.1,0.6,0.55,0.3,-0.3,0.4,0.5,0.66,0.4,0.66,0.5,0.45,0.56,0.66,0.78,0.35,0.6,0.6428,0.6032,0.24,adaptive lead; observational; flexible; moderate drift
q27,E,Fa,4,1.2,1.2,3,9,3,-0.2,-0.8,-0.3,-0.4,0.7,-0.5,-0.2,-0.3,0.4,0.6,0.46,0.66,0.52,0.6,0.42,0.7,0.46,0.68,0.5958,0.6872,0.36,relationally sensing; emotionally led; tuned to bond
q28,A,Mm,4,1.2,1.2,7,4,2,0.55,0.1,0.6,0.55,0.3,-0.3,0.4,0.5,0.66,0.4,0.66,0.5,0.45,0.56,0.66,0.78,0.35,0.6,0.6428,0.6032,0.24,adaptive lead; observational; flexible; moderate drift
q28,B,Fa,4,1.2,1.2,3,9,3,-0.2,-0.8,-0.3,-0.4,0.7,-0.5,-0.2,-0.3,0.4,0.6,0.46,0.66,0.52,0.6,0.42,0.7,0.46,0.68,0.5958,0.6872,0.36,relationally sensing; emotionally led; tuned to bond
q28,C,MS,4,1.2,1.2,10,2,1,0.9,0.3,0.85,0.85,0.4,-0.8,0.6,0.7,0.85,0.25,0.85,0.45,0.35,0.72,0.85,0.58,0.22,0.72,0.6848,0.6168,0.12,steady initiator; grounded lead; task-clear; low-drift
q28,D,Dr,4,1.2,1.2,0,3,10,-0.85,-0.2,-0.6,-0.3,0.8,1.0,-0.9,-1.0,0.3,0.7,0.2,0.24,0.82,0.2,0.26,0.22,0.78,0.18,0.3578,0.3356,1.2,confused signal; unstable pull; high strain; low repair
q28,E,Fr,4,1.2,1.2,1,10,4,-0.7,-0.55,-0.7,-0.8,0.2,-0.2,0.8,0.9,0.2,0.8,0.25,0.86,0.3,0.84,0.28,0.56,0.5,0.8,0.591,0.8336,0.48,settled receiver; high surrender; calm attraction
q29,A,Dr,4,1.2,1.2,0,3,10,-0.85,-0.2,-0.6,-0.3,0.8,1.0,-0.9,-1.0,0.3,0.7,0.2,0.24,0.82,0.2,0.26,0.22,0.78,0.18,0.3578,0.3356,1.2,confused signal; unstable pull; high strain; low repair
q29,B,Fr,4,1.2,1.2,1,10,4,-0.7,-0.55,-0.7,-0.8,0.2,-0.2,0.8,0.9,0.2,0.8,0.25,0.86,0.3,0.84,0.28,0.56,0.5,0.8,0.591,0.8336,0.48,settled receiver; high surrender; calm attraction
q29,C,Mm,4,1.2,1.2,7,4,2,0.55,0.1,0.6,0.55,0.3,-0.3,0.4,0.5,0.66,0.4,0.66,0.5,0.45,0.56,0.66,0.78,0.35,0.6,0.6428,0.6032,0.24,adaptive lead; observational; flexible; moderate drift
q29,D,Fa,4,1.2,1.2,3,9,3,-0.2,-0.8,-0.3,-0.4,0.7,-0.5,-0.2,-0.3,0.4,0.6,0.46,0.66,0.52,0.6,0.42,0.7,0.46,0.68,0.5958,0.6872,0.36,relationally sensing; emotionally led; tuned to bond
q29,E,MS,4,1.2,1.2,10,2,1,0.9,0.3,0.85,0.85,0.4,-0.8,0.6,0.7,0.85,0.25,0.85,0.45,0.35,0.72,0.85,0.58,0.22,0.72,0.6848,0.6168,0.12,steady initiator; grounded lead; task-clear; low-drift
q30,A,Fa,4,1.2,1.2,3,9,3,-0.2,-0.8,-0.3,-0.4,0.7,-0.5,-0.2,-0.3,0.4,0.6,0.46,0.66,0.52,0.6,0.42,0.7,0.46,0.68,0.5958,0.6872,0.36,relationally sensing; emotionally led; tuned to bond
q30,B,Dr,4,1.2,1.2,0,3,10,-0.85,-0.2,-0.6,-0.3,0.8,1.0,-0.9,-1.0,0.3,0.7,0.2,0.24,0.82,0.2,0.26,0.22,0.78,0.18,0.3578,0.3356,1.2,confused signal; unstable pull; high strain; low repair
q30,C,Fr,4,1.2,1.2,1,10,4,-0.7,-0.55,-0.7,-0.8,0.2,-0.2,0.8,0.9,0.2,0.8,0.25,0.86,0.3,0.84,0.28,0.56,0.5,0.8,0.591,0.8336,0.48,settled receiver; high surrender; calm attraction
q30,D,MS,4,1.2,1.2,10,2,1,0.9,0.3,0.85,0.85,0.4,-0.8,0.6,0.7,0.85,0.25,0.85,0.45,0.35,0.72,0.85,0.58,0.22,0.72,0.6848,0.6168,0.12,steady initiator; grounded lead; task-clear; low-drift
q30,E,Mm,4,1.2,1.2,7,4,2,0.55,0.1,0.6,0.55,0.3,-0.3,0.4,0.5,0.66,0.4,0.66,0.5,0.45,0.56,0.66,0.78,0.35,0.6,0.6428,0.6032,0.24,adaptive lead; observational; flexible; moderate drift
q31,A,MS,4,1.2,1.26,10,2,1,0.9,0.3,0.85,0.85,0.4,-0.8,0.6,0.7,0.85,0.25,0.85,0.45,0.35,0.72,0.85,0.58,0.22,0.72,0.6848,0.6168,0.12,steady initiator; grounded lead; task-clear; low-drift
q31,B,Mm,4,1.2,1.26,7,4,2,0.55,0.1,0.6,0.55,0.3,-0.3,0.4,0.5,0.66,0.4,0.66,0.5,0.45,0.56,0.66,0.78,0.35,0.6,0.6428,0.6032,0.24,adaptive lead; observational; flexible; moderate drift
q31,C,Fa,4,1.2,1.26,3,9,3,-0.2,-0.8,-0.3,-0.4,0.7,-0.5,-0.2,-0.3,0.4,0.6,0.46,0.66,0.52,0.6,0.42,0.7,0.46,0.68,0.5958,0.6872,0.36,relationally sensing; emotionally led; tuned to bond
q31,D,Fr,4,1.2,1.26,1,10,4,-0.7,-0.55,-0.7,-0.8,0.2,-0.2,0.8,0.9,0.2,0.8,0.25,0.86,0.3,0.84,0.28,0.56,0.5,0.8,0.591,0.8336,0.48,settled receiver; high surrender; calm attraction
q31,E,Dr,4,1.2,1.26,0,3,10,-0.85,-0.2,-0.6,-0.3,0.8,1.0,-0.9,-1.0,0.3,0.7,0.2,0.24,0.82,0.2,0.26,0.22,0.78,0.18,0.3578,0.3356,1.2,confused signal; unstable pull; high strain; low repair
q32,A,Fr,4,1.2,1.26,1,10,4,-0.7,-0.55,-0.7,-0.8,0.2,-0.2,0.8,0.9,0.2,0.8,0.25,0.86,0.3,0.84,0.28,0.56,0.5,0.8,0.591,0.8336,0.48,settled receiver; high surrender; calm attraction
q32,B,MS,4,1.2,1.26,10,2,1,0.9,0.3,0.85,0.85,0.4,-0.8,0.6,0.7,0.85,0.25,0.85,0.45,0.35,0.72,0.85,0.58,0.22,0.72,0.6848,0.6168,0.12,steady initiator; grounded lead; task-clear; low-drift
q32,C,Dr,4,1.2,1.26,0,3,10,-0.85,-0.2,-0.6,-0.3,0.8,1.0,-0.9,-1.0,0.3,0.7,0.2,0.24,0.82,0.2,0.26,0.22,0.78,0.18,0.3578,0.3356,1.2,confused signal; unstable pull; high strain; low repair
q32,D,Mm,4,1.2,1.26,7,4,2,0.55,0.1,0.6,0.55,0.3,-0.3,0.4,0.5,0.66,0.4,0.66,0.5,0.45,0.56,0.66,0.78,0.35,0.6,0.6428,0.6032,0.24,adaptive lead; observational; flexible; moderate drift
q32,E,Fa,4,1.2,1.26,3,9,3,-0.2,-0.8,-0.3,-0.4,0.7,-0.5,-0.2,-0.3,0.4,0.6,0.46,0.66,0.52,0.6,0.42,0.7,0.46,0.68,0.5958,0.6872,0.36,relationally sensing; emotionally led; tuned to bond
